order_id,customer_id,region,order_date,product_category,amount,quantity,status
ORD-00001,8270,East,2024-07-12,Food,363.79,9,returned
ORD-00002,1860,West,09/10/2024,Home,298.67,2,completed
ORD-00003,6390,West,Nov 17 2024,Clothing,326.9,2,returned
ORD-00004,6191,West,Jul 04 2024,Clothing,,3,pending
ORD-00005,6734,South,Apr 08 2024,Sports,309.79,1,completed
ORD-00006,7265,North,2024-02-05,Sports,167.86,4,completed
ORD-00007,1466,South,2024-12-04,Clothing,237.74,4,completed
ORD-00008,5426,West,2024-05-28,Sports,373.42,9,completed
ORD-00009,6578,North,2024-04-29,Food,436.56,9,completed
ORD-00010,9322,South,13/07/2024,Clothing,219.66,9,completed
ORD-00011,2685,North,Aug 20 2024,Sports,26.61,10,completed
ORD-00012,1769,East,2024-07-05,Clothing,85.03,7,completed
ORD-00004,7949,West,08/07/2024,Home,15.33,2,completed
ORD-00014,3433,West,Apr 17 2024,Electronics,328.37,10,completed
ORD-00015,6311,North,May 16 2024,Clothing,169.5,5,completed
ORD-00016,6051,West,Dec 15 2024,Electronics,273.53,4,completed
ORD-00017,7420,East,Feb 06 2024,Sports,249.17,8,completed
ORD-00018,2184,South,2024-11-21,Electronics,45.36,2,returned
ORD-00019,5555,East,Sep 30 2024,Clothing,204.61,6,completed
ORD-00020,4385,South,2024-05-05,Home,114.18,5,completed
ORD-00021,7396,South,24/08/2024,Sports,212.11,2,completed
ORD-00022,9666,East,May 18 2024,Clothing,105.77,10,completed
ORD-00023,3558,North,Dec 18 2024,Sports,421.02,1,completed
ORD-00024,8849,South,Apr 22 2024,Food,-91.23,8,returned
ORD-00025,3047,South,2024-06-15,Electronics,480.59,2,returned
ORD-00026,3747,North,2024-04-27,Food,210.87,7,completed
ORD-00027,1189,South,10/06/2024,Clothing,423.89,9,completed
ORD-00028,3734,East,2024-05-17,Home,316.24,9,pending
ORD-00029,4005,East,Apr 18 2024,Sports,369.0,8,completed
ORD-00030,5658,East,2024-06-10,Electronics,385.02,10,completed
ORD-00031,2899,West,01/12/2024,Sports,254.9,9,returned
ORD-00032,8734,East,Jul 21 2024,Clothing,273.93,2,completed
ORD-00033,2267,East,2024-08-22,Sports,259.43,6,completed
ORD-00034,2528,North,2024-05-15,Electronics,296.09,4,completed
ORD-00035,4556,South,May 06 2024,Clothing,19.55,4,completed
ORD-00036,4890,South,Oct 14 2024,Sports,200.78,5,completed
ORD-00037,9838,North,May 14 2024,Home,305.06,3,completed
ORD-00038,6393,East,26/10/2024,Clothing,300.87,1,completed
ORD-00039,9792,South,25/10/2024,Clothing,397.51,8,completed
ORD-00040,9433,West,2024-07-04,Home,329.23,5,completed
ORD-00041,8513,West,Mar 11 2024,Food,496.11,3,completed
ORD-00042,3612,East,2024-09-09,Electronics,145.51,10,completed
ORD-00043,8041,South,2024-01-25,Food,182.78,7,completed
ORD-00044,7235,North,Mar 19 2024,Sports,195.0,7,returned
ORD-00090,6486,West,Mar 22 2024,Home,235.58,1,completed
ORD-00046,8099,West,Aug 04 2024,Food,418.82,9,pending
ORD-00047,1775,North,02/02/2024,Clothing,121.72,2,completed
ORD-00048,9226,East,Jul 14 2024,Sports,,5,completed
ORD-00049,4152,North,Aug 27 2024,Sports,205.63,5,completed
ORD-00050,2585,North,May 08 2024,Food,,8,returned
ORD-00051,4943,North,Jan 06 2024,Food,318.11,8,completed
ORD-00052,8555,South,Feb 28 2024,Home,189.56,7,completed
ORD-00078,4073,West,01/10/2024,Electronics,,7,completed
ORD-00054,2021,East,24/11/2024,Food,209.45,6,completed
ORD-00055,4843,South,27/02/2024,Food,39.22,6,completed
ORD-00056,8989,East,2024-08-10,Clothing,221.4,9,returned
ORD-00057,7873,West,2024-08-20,Sports,53.21,6,completed
ORD-00005,6675,West,May 14 2024,Electronics,205.49,2,completed
ORD-00059,1161,North,Apr 01 2024,Clothing,298.49,2,completed
ORD-00060,5297,South,Feb 24 2024,Home,291.81,5,completed
ORD-00061,1995,North,Jun 01 2024,Home,333.0,4,completed
ORD-00062,8629,South,Sep 16 2024,Food,52.15,2,completed
ORD-00063,2016,North,2024-04-11,Food,327.8,3,completed
ORD-00064,8869,East,2024-07-10,Home,159.51,7,pending
ORD-00065,7439,South,Oct 03 2024,Food,202.53,8,completed
ORD-00066,8892,North,Jan 01 2024,Electronics,429.7,6,completed
ORD-00067,7863,North,14/06/2024,Food,9.47,5,completed
ORD-00068,8916,South,2024-01-10,Sports,-296.26,1,pending
ORD-00069,9529,North,04/07/2024,Food,301.36,8,completed
ORD-00070,1878,South,2024-05-02,Clothing,201.35,3,completed
ORD-00071,5887,North,May 03 2024,Electronics,122.33,6,returned
ORD-00078,5859,South,2024-02-10,Clothing,121.16,3,completed
ORD-00073,7331,South,2024-09-05,Clothing,442.44,7,completed
ORD-00074,9571,East,2024-09-29,Sports,223.8,7,completed
ORD-00075,9684,South,Mar 06 2024,Electronics,168.79,9,returned
ORD-00076,8208,North,Aug 31 2024,Electronics,227.14,5,completed
ORD-00077,6276,North,25/03/2024,Electronics,336.35,8,completed
ORD-00078,3062,West,Sep 27 2024,Electronics,77.15,10,completed
ORD-00079,1064,South,2024-08-04,Electronics,227.47,10,completed
ORD-00080,9006,East,Oct 03 2024,Sports,,8,completed
ORD-00081,3568,West,2024-12-19,Food,474.55,1,completed
ORD-00082,6463,North,08/06/2024,Clothing,,5,completed
ORD-00083,3027,West,Dec 09 2024,Electronics,182.83,3,completed
ORD-00084,3695,East,10/07/2024,Food,192.78,1,completed
ORD-00085,6258,North,21/09/2024,Food,304.74,4,completed
ORD-00086,6618,South,2024-03-02,Clothing,181.58,8,returned
ORD-00087,7736,West,2024-04-25,Sports,269.09,3,completed
ORD-00088,1391,South,2024-06-22,Home,391.99,10,returned
ORD-00089,6892,West,Oct 28 2024,Home,354.17,2,returned
ORD-00090,4561,South,Apr 27 2024,Food,225.95,9,completed
ORD-00091,7184,East,2024-04-22,Clothing,432.79,10,completed
ORD-00092,4099,South,Feb 06 2024,Home,281.28,5,completed
ORD-00093,7278,West,2024-11-19,Food,272.25,7,completed
ORD-00094,9392,East,2024-04-27,Sports,21.92,2,completed
ORD-00095,4104,North,17/01/2024,Home,493.41,9,completed
ORD-00096,8215,North,Feb 06 2024,Food,65.87,9,completed
ORD-00097,3454,North,01/05/2024,Food,119.41,4,returned
ORD-00098,9996,North,08/12/2024,Electronics,30.59,4,completed
ORD-00099,3731,North,Apr 19 2024,Sports,321.8,6,returned
ORD-00100,9154,East,Mar 08 2024,Electronics,116.23,10,completed
ORD-00101,6056,East,Oct 19 2024,Clothing,94.11,10,returned
ORD-00102,9110,East,2024-08-30,Electronics,48.84,10,completed
ORD-00103,4840,West,30/08/2024,Electronics,56.14,6,completed
ORD-00104,2028,East,2024-04-07,Home,294.41,1,completed
ORD-00105,8385,East,Feb 19 2024,Food,345.66,9,completed
ORD-00106,1502,East,08/08/2024,Sports,201.7,2,completed
ORD-00107,7910,South,04/08/2024,Electronics,242.55,5,returned
ORD-00108,7938,North,Aug 27 2024,Sports,344.55,9,completed
ORD-00109,5488,North,Jan 28 2024,Electronics,13.6,4,completed
ORD-00110,1206,North,Nov 30 2024,Clothing,164.95,3,completed
ORD-00111,6134,South,2024-02-20,Electronics,,7,returned
ORD-00112,6977,North,Jul 25 2024,Home,292.16,6,completed
ORD-00113,8721,West,2024-06-22,Food,,8,completed
ORD-00114,8035,East,2024-05-07,Clothing,263.26,3,completed
ORD-00065,2484,North,Apr 07 2024,Electronics,174.61,5,completed
ORD-00116,8858,North,2024-08-17,Sports,268.46,10,completed
ORD-00117,1863,North,2024-08-04,Clothing,67.24,4,pending
ORD-00118,3790,South,22/05/2024,Clothing,70.69,4,completed
ORD-00119,8408,South,2024-05-07,Electronics,76.05,4,returned
ORD-00120,9755,West,Aug 14 2024,Clothing,470.21,10,completed
ORD-00121,6116,South,2024-02-20,Sports,367.78,8,completed
ORD-00122,7019,West,Nov 29 2024,Clothing,85.38,6,returned
ORD-00123,2757,West,2024-01-08,Sports,98.23,3,completed
ORD-00124,8574,North,2024-05-01,Electronics,366.76,10,returned
ORD-00125,7374,West,27/07/2024,Food,82.3,5,completed
ORD-00030,7892,East,2024-09-03,Clothing,121.11,6,completed
ORD-00127,2678,South,2024-07-24,Food,481.86,5,returned
ORD-00128,4242,South,25/03/2024,Sports,131.38,6,completed
ORD-00129,5636,West,02/01/2024,Clothing,332.51,8,completed
ORD-00130,2059,East,15/05/2024,Home,489.42,7,completed
ORD-00131,7668,West,26/05/2024,Food,190.28,5,completed
