order_id,customer_id,region,order_date,product_category,amount,quantity,status
ORD-00001,8270,East,2024-08-02,Food,363.79,9,returned
ORD-00002,1860,West,Aug 17 2024,Home,298.67,2,completed
ORD-00003,6390,West,2024-05-22,Clothing,326.9,2,returned
ORD-00004,6191,West,Mar 22 2024,Clothing,242.24,3,pending
ORD-00005,6734,South,04/08/2024,Sports,309.79,1,completed
ORD-00006,7265,North,2024-05-22,Sports,167.86,4,completed
ORD-00007,1466,South,20/04/2024,Clothing,237.74,4,completed
ORD-00008,5426,West,2024-02-22,Sports,373.42,9,completed
ORD-00009,6578,North,2024-07-13,Food,436.56,9,completed
ORD-00010,9322,South,02/07/2024,Clothing,219.66,9,completed
ORD-00011,2685,North,05/11/2024,Sports,26.61,10,completed
ORD-00012,1769,East,Jan 23 2024,Clothing,85.03,7,completed
ORD-00004,7949,West,Aug 23 2024,Home,15.33,2,completed
ORD-00014,3433,West,04/03/2024,Electronics,328.37,10,completed
ORD-00015,6311,North,Feb 10 2024,Clothing,169.5,5,completed
ORD-00016,6051,West,May 30 2024,Electronics,273.53,4,completed
ORD-00017,7420,East,12/11/2024,Sports,249.17,8,completed
ORD-00018,2184,South,2024-10-22,Electronics,45.36,2,returned
ORD-00019,5555,East,2024-12-26,Clothing,204.61,6,completed
ORD-00020,4385,South,Jan 24 2024,Home,114.18,5,completed
ORD-00021,7396,South,26/04/2024,Sports,-212.11,2,completed
ORD-00022,9666,East,2024-02-10,Clothing,105.77,10,completed
ORD-00023,3558,North,21/02/2024,Sports,421.02,1,completed
ORD-00024,8849,South,22/05/2024,Food,91.23,8,returned
ORD-00025,3047,South,21/11/2024,Electronics,480.59,2,returned
ORD-00026,3747,North,24/03/2024,Food,210.87,7,completed
ORD-00027,1189,South,2024-06-30,Clothing,423.89,9,completed
ORD-00028,3734,East,09/12/2024,Home,316.24,9,pending
ORD-00029,4005,East,Dec 25 2024,Sports,369.0,8,completed
ORD-00030,5658,East,2024-11-27,Electronics,385.02,10,completed
ORD-00031,2899,West,Nov 07 2024,Sports,,9,returned
ORD-00032,8734,East,Mar 28 2024,Clothing,273.93,2,completed
ORD-00033,2267,East,2024-05-05,Sports,259.43,6,completed
ORD-00034,2528,North,24/08/2024,Electronics,296.09,4,completed
ORD-00035,4556,South,May 18 2024,Clothing,19.55,4,completed
ORD-00036,4890,South,Dec 18 2024,Sports,200.78,5,completed
ORD-00037,9838,North,Apr 22 2024,Home,,3,completed
ORD-00038,6393,East,2024-06-15,Clothing,300.87,1,completed
ORD-00039,9792,South,2024-04-27,Clothing,397.51,8,completed
ORD-00040,9433,West,10/06/2024,Home,329.23,5,completed
ORD-00041,8513,West,2024-05-17,Food,496.11,3,completed
ORD-00042,3612,East,Apr 18 2024,Electronics,145.51,10,completed
ORD-00043,8041,South,2024-06-10,Food,182.78,7,completed
ORD-00044,7235,North,01/12/2024,Sports,-195.0,7,returned
ORD-00090,6486,West,Jul 21 2024,Home,235.58,1,completed
ORD-00046,8099,West,2024-08-22,Food,418.82,9,pending
ORD-00047,1775,North,2024-05-15,Clothing,121.72,2,completed
ORD-00048,9226,East,May 06 2024,Sports,389.12,5,completed
ORD-00049,4152,North,Oct 14 2024,Sports,205.63,5,completed
ORD-00050,2585,North,May 14 2024,Food,302.92,8,returned
ORD-00051,4943,North,26/10/2024,Food,318.11,8,completed
ORD-00052,8555,South,25/10/2024,Home,189.56,7,completed
ORD-00078,4073,West,2024-07-04,Electronics,258.74,7,completed
ORD-00054,2021,East,Mar 11 2024,Food,209.45,6,completed
ORD-00055,4843,South,2024-09-09,Food,39.22,6,completed
ORD-00056,8989,East,2024-01-25,Clothing,221.4,9,returned
ORD-00057,7873,West,Mar 19 2024,Sports,53.21,6,completed
ORD-00005,6675,West,Mar 22 2024,Electronics,205.49,2,completed
ORD-00059,1161,North,Aug 04 2024,Clothing,298.49,2,completed
ORD-00060,5297,South,02/02/2024,Home,291.81,5,completed
ORD-00061,1995,North,Jul 14 2024,Home,333.0,4,completed
ORD-00062,8629,South,Aug 27 2024,Food,52.15,2,completed
ORD-00063,2016,North,May 08 2024,Food,327.8,3,completed
ORD-00064,8869,East,Jan 06 2024,Home,,7,pending
ORD-00065,7439,South,Feb 28 2024,Food,202.53,8,completed
ORD-00066,8892,North,01/10/2024,Electronics,429.7,6,completed
ORD-00067,7863,North,24/11/2024,Food,9.47,5,completed
ORD-00068,8916,South,27/02/2024,Sports,296.26,1,pending
ORD-00069,9529,North,2024-08-10,Food,301.36,8,completed
ORD-00070,1878,South,2024-08-20,Clothing,201.35,3,completed
ORD-00071,5887,North,May 14 2024,Electronics,122.33,6,returned
ORD-00078,5859,South,Apr 01 2024,Clothing,121.16,3,completed
