event_id,student_id,event_date,course_category,completion_pct,time_spent_minutes,status
EVT-00001,8203,2024-10-28,Data,7.9,405,completed
EVT-00002,4240,07/10/2024,Security,76.2,435,completed
EVT-00003,2768,2024-12-15,Security,10.1,147,completed
EVT-00004,8890,03/18/2024,Business,,400,dropped
EVT-00005,6188,2024-12-04,Security,81.5,239,completed
EVT-00006,8365,10/17/2024,Data,18.0,198,dropped
EVT-00007,4457,February 12 2024,Engineering,44.3,320,completed
EVT-00008,8971,September 27 2024,Security,74.0,124,completed
EVT-00009,1055,02/14/2024,Business,26.4,349,completed
EVT-00010,1449,06/10/2024,Business,82.3,12,dropped
EVT-00011,9368,01/22/2024,Engineering,5.3,458,completed
EVT-00012,6341,2024-10-12,Business,38.6,59,completed
EVT-00013,1059,2024-08-05,Business,47.3,211,completed
EVT-00014,9436,July 04 2024,Engineering,86.3,399,completed
EVT-00015,6762,02/11/2024,Data,15.5,132,in_progress
EVT-00016,7336,2024-09-22,Engineering,62.3,160,in_progress
EVT-00017,5040,11/06/2024,Security,47.7,43,completed
EVT-00018,2044,01/27/2024,Security,9.8,191,completed
EVT-00019,1591,2024-03-07,Business,34.4,375,completed
EVT-00020,3810,March 23 2024,Security,66.7,388,in_progress
EVT-00021,7191,August 14 2024,Design,49.3,407,completed
EVT-00022,2819,March 31 2024,Design,27.8,235,completed
EVT-00023,7884,2024-12-04,Security,46.7,318,completed
EVT-00024,7905,2024-01-19,Design,79.8,336,completed
EVT-00025,4134,2024-01-12,Engineering,92.3,368,completed
EVT-00026,3121,August 30 2024,Business,86.8,225,completed
EVT-00027,7383,2024-08-02,Design,2.2,230,completed
EVT-00028,3915,August 05 2024,Design,87.1,116,in_progress
EVT-00029,9982,2024-02-14,Business,69.9,265,completed
EVT-00030,5786,June 07 2024,Business,96.3,198,completed
EVT-00031,1773,01/03/2024,Data,97.5,351,completed
EVT-00032,6851,2024-06-17,Business,61.9,315,completed
EVT-00033,1011,09/24/2024,Data,20.8,477,completed
EVT-00034,6215,2024-04-12,Business,65.0,328,completed
EVT-00035,7001,2024-11-23,Engineering,50.4,450,completed
EVT-00036,4195,08/14/2024,Business,83.6,435,completed
EVT-00037,3977,10/06/2024,Engineering,37.4,381,completed
EVT-00038,5364,03/05/2024,Data,69.9,264,completed
EVT-00039,6603,12/21/2024,Security,64.6,60,completed
EVT-00040,2112,2024-01-29,Security,49.2,90,in_progress
EVT-00041,6577,November 03 2024,Engineering,8.7,83,completed
EVT-00042,1626,March 18 2024,Design,31.4,270,completed
EVT-00043,8673,2024-07-28,Design,88.1,447,dropped
EVT-00044,6120,2024-02-19,Engineering,68.0,114,dropped
EVT-00079,9637,03/14/2024,Design,66.7,349,completed
EVT-00046,4595,2024-03-30,Security,94.6,122,in_progress
EVT-00047,5210,2024-07-28,Security,54.0,431,dropped
EVT-00048,1381,April 16 2024,Security,15.1,132,completed
EVT-00049,2474,06/12/2024,Data,32.3,239,dropped
EVT-00050,1315,04/29/2024,Security,3.5,270,dropped
EVT-00051,9682,03/01/2024,Data,28.2,127,completed
EVT-00052,2107,April 05 2024,Data,66.2,226,completed
EVT-00053,5200,February 07 2024,Data,81.8,215,completed
EVT-00054,8963,2024-05-27,Security,50.7,82,completed
EVT-00055,4491,2024-10-26,Business,52.0,311,dropped
EVT-00056,3669,2024-06-21,Security,29.9,204,completed
EVT-00057,1029,07/12/2024,Security,79.8,83,completed
EVT-00058,3156,06/21/2024,Design,22.4,136,dropped
EVT-00059,8073,07/16/2024,Business,68.2,402,completed
EVT-00060,3093,July 08 2024,Design,78.0,121,completed
EVT-00061,3397,2024-02-17,Security,77.4,288,in_progress
EVT-00062,4659,01/20/2024,Engineering,42.1,85,dropped
EVT-00063,3796,07/23/2024,Design,89.3,419,completed
EVT-00064,2851,04/27/2024,Design,57.9,195,completed
EVT-00065,4931,2024-12-01,Engineering,44.5,233,completed
EVT-00066,3277,November 30 2024,Data,40.8,419,completed
EVT-00067,7679,2024-06-08,Engineering,91.9,12,in_progress
EVT-00068,7491,December 18 2024,Business,96.9,101,completed
EVT-00026,5261,2024-06-09,Design,68.2,180,dropped
EVT-00070,5380,December 30 2024,Business,69.6,264,completed
EVT-00071,3235,2024-12-30,Data,8.4,161,in_progress
EVT-00072,4495,07/15/2024,Data,81.1,278,completed
EVT-00073,8544,2024-08-12,Engineering,40.9,460,completed
EVT-00074,3736,08/12/2024,Engineering,57.5,479,completed
EVT-00075,9526,2024-05-11,Design,29.9,406,completed
EVT-00076,8732,09/14/2024,Engineering,63.7,128,completed
EVT-00077,6792,12/16/2024,Business,54.8,234,completed
EVT-00078,6864,September 01 2024,Engineering,98.2,455,completed
EVT-00079,8488,03/06/2024,Data,10.5,291,completed
EVT-00080,2385,08/08/2024,Design,,326,completed
EVT-00081,3976,July 28 2024,Security,23.2,344,in_progress
EVT-00082,1740,2024-11-08,Engineering,39.8,318,completed
EVT-00083,1013,05/24/2024,Engineering,,132,completed
EVT-00084,3288,December 13 2024,Business,58.2,85,completed
EVT-00085,1537,November 05 2024,Data,,65,completed
EVT-00086,3207,December 07 2024,Business,84.4,77,completed
EVT-00087,3551,2024-08-13,Design,29.2,446,completed
EVT-00088,7794,07/13/2024,Business,83.6,424,completed
EVT-00089,1620,04/11/2024,Engineering,48.9,171,completed
EVT-00090,1884,January 03 2024,Security,78.6,336,in_progress
EVT-00091,5338,June 30 2024,Security,56.3,320,completed
EVT-00012,5856,2024-05-31,Business,21.8,27,in_progress
EVT-00093,6522,December 06 2024,Security,92.6,94,completed
EVT-00094,8899,March 28 2024,Business,76.8,95,completed
EVT-00095,7333,May 13 2024,Business,88.3,322,completed
EVT-00096,2278,August 01 2024,Engineering,72.9,104,in_progress
EVT-00097,8207,2024-12-27,Design,92.4,201,completed
EVT-00098,6858,07/28/2024,Security,64.1,16,completed
EVT-00099,4715,12/02/2024,Engineering,60.8,271,in_progress
EVT-00100,8423,2024-01-02,Business,66.7,252,completed
EVT-00101,2866,September 13 2024,Design,42.1,183,dropped
EVT-00102,2242,2024-04-13,Security,10.9,264,completed
EVT-00068,1417,09/24/2024,Business,75.6,381,completed
EVT-00104,6958,December 10 2024,Security,31.1,451,completed
EVT-00105,2151,March 26 2024,Data,75.7,84,completed
EVT-00106,8391,2024-08-15,Design,77.2,137,completed
EVT-00107,6187,May 15 2024,Data,53.0,117,completed
EVT-00108,7266,08/01/2024,Engineering,1.6,236,in_progress
EVT-00109,7036,October 13 2024,Design,93.1,277,completed
EVT-00110,9059,November 16 2024,Security,56.3,240,completed
EVT-00111,6269,November 19 2024,Engineering,86.7,265,in_progress
EVT-00112,3565,2024-05-27,Data,37.2,150,in_progress
EVT-00113,2264,2024-01-11,Data,87.2,464,dropped
EVT-00114,3087,2024-06-06,Engineering,98.6,341,completed
EVT-00115,1444,2024-10-24,Engineering,41.3,433,in_progress
EVT-00116,6760,01/30/2024,Design,51.5,281,completed
EVT-00117,3948,06/02/2024,Business,34.8,383,completed
EVT-00080,8797,October 12 2024,Engineering,31.6,469,completed
EVT-00119,4279,December 29 2024,Design,82.9,152,completed
EVT-00120,2760,10/21/2024,Data,13.5,387,completed
EVT-00121,6699,2024-04-09,Data,25.5,376,completed
EVT-00122,5382,07/21/2024,Data,30.0,21,completed
EVT-00123,3387,03/29/2024,Design,67.0,214,completed
EVT-00124,3461,08/23/2024,Security,16.0,109,completed
EVT-00125,3890,2024-03-06,Design,64.5,163,in_progress
EVT-00126,2808,August 16 2024,Business,63.2,320,dropped
EVT-00127,8831,12/25/2024,Engineering,65.3,433,completed
EVT-00063,3359,August 02 2024,Security,29.6,469,completed
EVT-00129,4399,04/01/2024,Security,5.5,28,completed
EVT-00130,5580,2024-05-08,Engineering,49.8,218,completed
EVT-00131,5457,05/20/2024,Security,54.5,249,completed
EVT-00132,7809,October 20 2024,Business,9.4,216,completed
EVT-00133,4022,2024-07-14,Security,43.3,200,completed
EVT-00134,6528,September 02 2024,Engineering,34.4,253,completed
EVT-00135,6440,11/16/2024,Data,31.8,401,completed
EVT-00136,5846,2024-12-06,Engineering,,407,in_progress
EVT-00137,8745,February 08 2024,Data,77.5,95,in_progress
EVT-00138,6751,05/02/2024,Data,97.2,333,dropped
EVT-00139,1933,2024-09-24,Data,8.9,327,completed
EVT-00140,1243,02/28/2024,Business,15.9,119,completed
EVT-00141,2846,2024-09-09,Security,52.3,405,completed
EVT-00142,8301,June 20 2024,Business,4.3,466,completed
EVT-00143,8041,January 03 2024,Engineering,,226,completed
EVT-00144,4484,December 14 2024,Design,97.8,239,completed
EVT-00145,2669,May 20 2024,Engineering,46.7,179,dropped
EVT-00146,6060,January 07 2024,Business,18.7,68,completed
EVT-00147,5835,06/12/2024,Business,33.7,306,completed
EVT-00148,7689,2024-05-13,Engineering,39.4,87,completed
EVT-00149,4417,March 10 2024,Business,7.3,248,completed
